# Title:                 FLOW SERIES
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       
# missing values are indicated by -999.000
#
# file generation date:  2030-07-21
#
# GRDC-No.:              6343100
# River:                 Vanilla
# Station:               WATERCASTEL
# Country:               Dreamland
# Latitude (DD):       95.5543845
# Longitude (DD):      82.453464
# Catchment area (km2):      11983.0
# Altitude (m ASL):        629.51
# Next downstream station:      7777777
# 
# 
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m3/s
# Time series:           1826-11 - 2016-12
# No. of years:          191
# Last update:           2028-11-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 69458
# DATA
YYYY-MM-DD;hh:mm; Value
1827-04-11;--:--;319
1827-04-12;--:--;324
1827-04-13;--:--;332
1827-04-14;--:--;352
1827-04-15;--:--;488
1827-04-16;--:--;466
1827-04-17;--:--;418
1827-04-18;--:--;397
1827-04-19;--:--;338
1827-04-20;--:--;332
1827-04-21;--:--;434
1827-04-22;--:--;466
1827-04-23;--:--;440
1827-04-24;--:--;418
1827-04-25;--:--;372
1827-04-26;--:--;358
1827-04-27;--:--;366
1827-04-28;--:--;366
1827-04-29;--:--;366
1827-04-30;--:--;387
1827-05-01;--:--;403
1827-05-02;--:--;440
1827-05-03;--:--;606
1827-05-04;--:--;588
1827-05-05;--:--;588
1827-05-06;--:--;581
1827-05-07;--:--;613
1827-05-08;--:--;632
1827-05-09;--:--;570
1827-05-10;--:--;528
1827-05-11;--:--;552
1827-05-12;--:--;696
1827-05-13;--:--;677
1827-05-14;--:--;650
1827-05-15;--:--;650
1827-05-16;--:--;783
1827-05-17;--:--;723
1827-05-18;--:--;669
1827-05-19;--:--;669
1827-05-20;--:--;723
1827-05-21;--:--;904
1827-05-22;--:--;882
1827-05-23;--:--;844
1827-05-24;--:--;723
1827-05-25;--:--;658
1827-05-26;--:--;613
1827-05-27;--:--;552
1827-05-28;--:--;613
1827-05-29;--:--;632
1827-05-30;--:--;643
1827-05-31;--:--;653
1827-06-01;--:--;723
1827-06-02;--:--;783
1827-06-03;--:--;844
1827-06-04;--:--;1040
1827-06-05;--:--;971
1827-06-06;--:--;874
1827-06-07;--:--;1350
1827-06-08;--:--;1260
1827-06-09;--:--;1000
1827-06-10;--:--;1260
1827-06-11;--:--;1260
1827-06-12;--:--;1110
1827-06-13;--:--;1110
1827-06-14;--:--;1070
1827-06-15;--:--;1110
1827-06-16;--:--;1190
1827-06-17;--:--;1130
1827-06-18;--:--;1260
1827-06-19;--:--;1260
1827-06-20;--:--;1350
1827-06-21;--:--;1350
1827-06-22;--:--;1470
1827-06-23;--:--;1470
1827-06-24;--:--;1390
1827-06-25;--:--;1110
1827-06-26;--:--;1020
1827-06-27;--:--;971
1827-06-28;--:--;865
1827-06-29;--:--;783
1827-06-30;--:--;743
1827-07-01;--:--;783
1827-07-02;--:--;939
1827-07-03;--:--;948
1827-07-04;--:--;1040
1827-07-05;--:--;1220
1827-07-06;--:--;1040
1827-07-07;--:--;939
1827-07-08;--:--;874
1827-07-09;--:--;874
1827-07-10;--:--;874
1827-07-11;--:--;844
1827-07-12;--:--;823
1827-07-13;--:--;811
1827-07-14;--:--;803
1827-07-15;--:--;783
1827-07-16;--:--;755
1827-07-17;--:--;755
1827-07-18;--:--;1040
1827-07-19;--:--;971
1827-07-20;--:--;874
1827-07-21;--:--;707
1827-07-22;--:--;811
1827-07-23;--:--;844
1827-07-24;--:--;707
1827-07-25;--:--;650
1827-07-26;--:--;669
1827-07-27;--:--;650
1827-07-28;--:--;688
1827-07-29;--:--;696
1827-07-30;--:--;696
1827-07-31;--:--;677
1827-08-01;--:--;696
1827-08-02;--:--;723
1827-08-03;--:--;735
1827-08-04;--:--;715
1827-08-05;--:--;993
1827-08-06;--:--;1110
1827-08-07;--:--;993
1827-08-08;--:--;844
1827-08-09;--:--;715
1827-08-10;--:--;658
1827-08-11;--:--;613
1827-08-12;--:--;811
1827-08-13;--:--;658
1827-08-14;--:--;563
1827-08-15;--:--;511
1827-08-16;--:--;511
1827-08-17;--:--;511
1827-08-18;--:--;511
1827-08-19;--:--;552
1827-08-20;--:--;613
1827-08-21;--:--;613
1827-08-22;--:--;595
1827-08-23;--:--;528
1827-08-24;--:--;495
1827-08-25;--:--;466
1827-08-26;--:--;511
1827-08-27;--:--;511
1827-08-28;--:--;723
1827-08-29;--:--;811
1827-08-30;--:--;643
1827-08-31;--:--;511
1827-09-01;--:--;418
1827-09-02;--:--;418
1827-09-03;--:--;403
1827-09-04;--:--;397
1827-09-05;--:--;397
1827-09-06;--:--;381
1827-09-07;--:--;366
1827-09-08;--:--;358
1827-09-09;--:--;358
1827-09-10;--:--;346
1827-09-11;--:--;332
1827-09-12;--:--;311
1827-09-13;--:--;306
1827-09-14;--:--;311
1827-09-15;--:--;397
1827-09-16;--:--;332
1827-09-17;--:--;324
1827-09-18;--:--;311
1827-09-19;--:--;306
1827-09-20;--:--;306
1827-09-21;--:--;311
1827-09-22;--:--;301
1827-09-23;--:--;293
1827-09-24;--:--;280
1827-09-25;--:--;280
1827-09-26;--:--;268
1827-09-27;--:--;259
1827-09-28;--:--;259
1827-09-29;--:--;252
1827-09-30;--:--;252
1827-10-01;--:--;288
1827-10-02;--:--;259
1827-10-03;--:--;259
1827-10-04;--:--;259
1827-10-05;--:--;259
1827-10-06;--:--;247
1827-10-07;--:--;247
1827-10-08;--:--;236
1827-10-09;--:--;236
1827-10-10;--:--;225
1827-10-11;--:--;215
1827-10-12;--:--;215
1827-10-13;--:--;247
1827-10-14;--:--;259
1827-10-15;--:--;247
1827-10-16;--:--;240
1827-10-17;--:--;240
1827-10-18;--:--;229
1827-10-19;--:--;215
1827-10-20;--:--;211
1827-10-21;--:--;211
1827-10-22;--:--;211
1827-10-23;--:--;211
1827-10-24;--:--;211
1827-10-25;--:--;204
1827-10-26;--:--;204
1827-10-27;--:--;204
1827-10-28;--:--;204
1827-10-29;--:--;200
1827-10-30;--:--;200
1827-10-31;--:--;195
1827-11-01;--:--;195
1827-11-02;--:--;195
1827-11-03;--:--;204
1827-11-04;--:--;204
1827-11-05;--:--;204
1827-11-06;--:--;211
1827-11-07;--:--;366
1827-11-08;--:--;311
1827-11-09;--:--;311
1827-11-10;--:--;259
1827-11-11;--:--;403
1827-11-12;--:--;409
1827-11-13;--:--;397
1827-11-14;--:--;306
1827-11-15;--:--;288
1827-11-16;--:--;259
1827-11-17;--:--;252
1827-11-18;--:--;240
1827-11-19;--:--;221
1827-11-20;--:--;221
1827-11-21;--:--;240
1827-11-22;--:--;215
1827-11-23;--:--;211
1827-11-24;--:--;211
1827-11-25;--:--;204
1827-11-26;--:--;204
1827-11-27;--:--;195
1827-11-28;--:--;200
1827-11-29;--:--;195
1827-11-30;--:--;195
1827-12-01;--:--;195
1827-12-02;--:--;311
1827-12-03;--:--;311
1827-12-04;--:--;215
1827-12-05;--:--;259
1827-12-06;--:--;259
1827-12-07;--:--;259
1827-12-08;--:--;259
1827-12-09;--:--;240
1827-12-10;--:--;225
1827-12-11;--:--;215
1827-12-12;--:--;204
1827-12-13;--:--;195
1827-12-14;--:--;195
1827-12-15;--:--;191
1827-12-16;--:--;185
1827-12-17;--:--;195
1827-12-18;--:--;195
1827-12-19;--:--;195
1827-12-20;--:--;185
1827-12-21;--:--;181
1827-12-22;--:--;181
1827-12-23;--:--;306
1827-12-24;--:--;472
1827-12-25;--:--;424
1827-12-26;--:--;381
1827-12-27;--:--;259
1827-12-28;--:--;252
1827-12-29;--:--;240
1827-12-30;--:--;229
1827-12-31;--:--;221
1828-01-01;--:--;185
1828-01-02;--:--;191
1828-01-03;--:--;195
1828-01-04;--:--;195
1828-01-05;--:--;200
1828-01-06;--:--;200
1828-01-07;--:--;195
1828-01-08;--:--;185
1828-01-09;--:--;185
1828-01-10;--:--;185
1828-01-11;--:--;195
1828-01-12;--:--;221
1828-01-13;--:--;225
1828-01-14;--:--;225
1828-01-15;--:--;221
1828-01-16;--:--;215
1828-01-17;--:--;211
1828-01-18;--:--;200
1828-01-19;--:--;195
1828-01-20;--:--;195
1828-01-21;--:--;185
1828-01-22;--:--;185
1828-01-23;--:--;185
1828-01-24;--:--;191
1828-01-25;--:--;195
1828-01-26;--:--;177
1828-01-27;--:--;172
1828-01-28;--:--;168
1828-01-29;--:--;168
1828-01-30;--:--;168
1828-01-31;--:--;168
1828-02-01;--:--;159
1828-02-02;--:--;195
1828-02-03;--:--;288
1828-02-04;--:--;288
1828-02-05;--:--;275
1828-02-06;--:--;268
1828-02-07;--:--;225
1828-02-08;--:--;211
1828-02-09;--:--;191
1828-02-10;--:--;181
1828-02-11;--:--;181
1828-02-12;--:--;177
1828-02-13;--:--;177
1828-02-14;--:--;172
1828-02-15;--:--;172
1828-02-16;--:--;168
1828-02-17;--:--;163
1828-02-18;--:--;163
1828-02-19;--:--;154
1828-02-20;--:--;154
1828-02-21;--:--;151
1828-02-22;--:--;151
1828-02-23;--:--;151
1828-02-24;--:--;177
1828-02-25;--:--;159
1828-02-26;--:--;159
1828-02-27;--:--;154
1828-02-28;--:--;154
1828-02-29;--:--;151
1828-03-01;--:--;172
1828-03-02;--:--;177
1828-03-03;--:--;177
1828-03-04;--:--;185
1828-03-05;--:--;185
1828-03-06;--:--;159
1828-03-07;--:--;154
1828-03-08;--:--;154
1828-03-09;--:--;163
1828-03-10;--:--;181
1828-03-11;--:--;195
1828-03-12;--:--;204
1828-03-13;--:--;211
1828-03-14;--:--;229
1828-03-15;--:--;240
1828-03-16;--:--;268
1828-03-17;--:--;301
1828-03-18;--:--;479
1828-03-19;--:--;563
1828-03-20;--:--;479
1828-03-21;--:--;381
1828-03-22;--:--;352
1828-03-23;--:--;372
1828-03-24;--:--;346
1828-03-25;--:--;319
1828-03-26;--:--;332
1828-03-27;--:--;319
1828-03-28;--:--;259
1828-03-29;--:--;280
1828-03-30;--:--;319
1828-03-31;--:--;306
1828-04-01;--:--;332
1828-04-02;--:--;293
1828-04-03;--:--;259
1828-04-04;--:--;247
1828-04-05;--:--;236
1828-04-06;--:--;215
1828-04-07;--:--;211
1828-04-08;--:--;215
1828-04-09;--:--;229
1828-04-10;--:--;247
1828-04-11;--:--;240
1828-04-12;--:--;229
1828-04-13;--:--;236
1828-04-14;--:--;259
1828-04-15;--:--;346
1828-04-16;--:--;301
1828-04-17;--:--;319
1828-04-18;--:--;372
1828-04-19;--:--;472
1828-04-20;--:--;495
1828-04-21;--:--;479
1828-04-22;--:--;403
1828-04-23;--:--;381
1828-04-24;--:--;381
1828-04-25;--:--;358
1828-04-26;--:--;397
1828-04-27;--:--;424
1828-04-28;--:--;424
1828-04-29;--:--;440
1828-04-30;--:--;440
1828-05-01;--:--;440
1828-05-02;--:--;449
1828-05-03;--:--;456
1828-05-04;--:--;495
1828-05-05;--:--;434
1828-05-06;--:--;456
1828-05-07;--:--;403
1828-05-08;--:--;387
1828-05-09;--:--;372
1828-05-10;--:--;366
1828-05-11;--:--;381
1828-05-12;--:--;403
1828-05-13;--:--;466
1828-05-14;--:--;505
1828-05-15;--:--;495
1828-05-16;--:--;535
1828-05-17;--:--;552
1828-05-18;--:--;581
1828-05-19;--:--;570
1828-05-20;--:--;535
1828-05-21;--:--;479
1828-05-22;--:--;535
1828-05-23;--:--;535
1828-05-24;--:--;495
1828-05-25;--:--;511
1828-05-26;--:--;563
1828-05-27;--:--;528
1828-05-28;--:--;570
1828-05-29;--:--;588
1828-05-30;--:--;613
1828-05-31;--:--;696
1828-06-01;--:--;791
1828-06-02;--:--;743
1828-06-03;--:--;735
1828-06-04;--:--;723
1828-06-05;--:--;735
1828-06-06;--:--;957
1828-06-07;--:--;948
1828-06-08;--:--;775
1828-06-09;--:--;669
1828-06-10;--:--;632
1828-06-11;--:--;563
1828-06-12;--:--;535
1828-06-13;--:--;511
1828-06-14;--:--;581
1828-06-15;--:--;595
1828-06-16;--:--;624
1828-06-17;--:--;688
1828-06-18;--:--;755
1828-06-19;--:--;775
1828-06-20;--:--;723
1828-06-21;--:--;715
1828-06-22;--:--;926
1828-06-23;--:--;993
1828-06-24;--:--;1260
1828-06-25;--:--;1070
1828-06-26;--:--;904
1828-06-27;--:--;743
1828-06-28;--:--;743
1828-06-29;--:--;735
1828-06-30;--:--;723
1828-07-01;--:--;723
1828-07-02;--:--;865
1828-07-03;--:--;844
1828-07-04;--:--;791
1828-07-05;--:--;755
1828-07-06;--:--;783
1828-07-07;--:--;511
1828-07-08;--:--;511
1828-07-09;--:--;783
1828-07-10;--:--;823
1828-07-11;--:--;874
1828-07-12;--:--;723
1828-07-13;--:--;775
1828-07-14;--:--;723
1828-07-15;--:--;669
1828-07-16;--:--;613
1828-07-17;--:--;581
1828-07-18;--:--;511
1828-07-19;--:--;511
1828-07-20;--:--;545
1828-07-21;--:--;643
1828-07-22;--:--;865
1828-07-23;--:--;743
1828-07-24;--:--;723
1828-07-25;--:--;723
1828-07-26;--:--;643
1828-07-27;--:--;650
1828-07-28;--:--;696
1828-07-29;--:--;939
1828-07-30;--:--;929
1828-07-31;--:--;723
1828-08-01;--:--;643
1828-08-02;--:--;535
1828-08-03;--:--;528
1828-08-04;--:--;528
1828-08-05;--:--;552
1828-08-06;--:--;570
1828-08-07;--:--;521
1828-08-08;--:--;528
1828-08-09;--:--;552
1828-08-10;--:--;632
1828-08-11;--:--;632
1828-08-12;--:--;723
1828-08-13;--:--;743
1828-08-14;--:--;613
1828-08-15;--:--;658
1828-08-16;--:--;743
1828-08-17;--:--;811
1828-08-18;--:--;632
1828-08-19;--:--;563
1828-08-20;--:--;581
1828-08-21;--:--;528
1828-08-22;--:--;521
1828-08-23;--:--;811
1828-08-24;--:--;696
1828-08-25;--:--;669
1828-08-26;--:--;643
1828-08-27;--:--;613
1828-08-28;--:--;535
1828-08-29;--:--;511
1828-08-30;--:--;528
1828-08-31;--:--;570
1828-09-01;--:--;511
1828-09-02;--:--;472
1828-09-03;--:--;521
1828-09-04;--:--;528
1828-09-05;--:--;472
1828-09-06;--:--;479
1828-09-07;--:--;472
1828-09-08;--:--;456
1828-09-09;--:--;456
1828-09-10;--:--;418
1828-09-11;--:--;403
1828-09-12;--:--;424
1828-09-13;--:--;434
1828-09-14;--:--;743
1828-09-15;--:--;874
1828-09-16;--:--;980
1828-09-17;--:--;844
1828-09-18;--:--;755
1828-09-19;--:--;570
1828-09-20;--:--;528
1828-09-21;--:--;449
1828-09-22;--:--;466
1828-09-23;--:--;434
1828-09-24;--:--;366
1828-09-25;--:--;352
1828-09-26;--:--;338
1828-09-27;--:--;311
1828-09-28;--:--;311
1828-09-29;--:--;288
1828-09-30;--:--;288
1828-10-01;--:--;288
1828-10-02;--:--;306
1828-10-03;--:--;280
1828-10-04;--:--;301
1828-10-05;--:--;280
1828-10-06;--:--;535
1828-10-07;--:--;275
1828-10-08;--:--;275
1828-10-09;--:--;275
1828-10-10;--:--;268
1828-10-11;--:--;268
1828-10-12;--:--;275
1828-10-13;--:--;275
1828-10-14;--:--;332
1828-10-15;--:--;358
1828-10-16;--:--;306
1828-10-17;--:--;306
1828-10-18;--:--;268
1828-10-19;--:--;268
1828-10-20;--:--;280
1828-10-21;--:--;268
1828-10-22;--:--;263
1828-10-23;--:--;259
1828-10-24;--:--;268
1828-10-25;--:--;236
1828-10-26;--:--;225
1828-10-27;--:--;225
1828-10-28;--:--;215
1828-10-29;--:--;204
1828-10-30;--:--;204
1828-10-31;--:--;191
1828-11-01;--:--;185
1828-11-02;--:--;185
1828-11-03;--:--;181
1828-11-04;--:--;181
1828-11-05;--:--;177
1828-11-06;--:--;177
1828-11-07;--:--;177
1828-11-08;--:--;177
1828-11-09;--:--;172
1828-11-10;--:--;163
1828-11-11;--:--;163
1828-11-12;--:--;163
1828-11-13;--:--;159
1828-11-14;--:--;159
1828-11-15;--:--;159
1828-11-16;--:--;159
1828-11-17;--:--;143
1828-11-18;--:--;143
1828-11-19;--:--;143
1828-11-20;--:--;143
1828-11-21;--:--;143
1828-11-22;--:--;143
1828-11-23;--:--;143
1828-11-24;--:--;143
1828-11-25;--:--;143
1828-11-26;--:--;143
1828-11-27;--:--;143
1828-11-28;--:--;143
1828-11-29;--:--;143
1828-11-30;--:--;143
1828-12-01;--:--;143
1828-12-02;--:--;143
1828-12-03;--:--;143
1828-12-04;--:--;143
1828-12-05;--:--;143
1828-12-06;--:--;143
1828-12-07;--:--;143
1828-12-08;--:--;143
1828-12-09;--:--;143
1828-12-10;--:--;143
1828-12-11;--:--;143
1828-12-12;--:--;143
1828-12-13;--:--;143
1828-12-14;--:--;143
1828-12-15;--:--;143
1828-12-16;--:--;143
1828-12-17;--:--;143
1828-12-18;--:--;143
1828-12-19;--:--;143
1828-12-20;--:--;195
1828-12-21;--:--;332
1828-12-22;--:--;195
1828-12-23;--:--;195
1828-12-24;--:--;195
1828-12-25;--:--;168
1828-12-26;--:--;154
1828-12-27;--:--;143
1828-12-28;--:--;143
1828-12-29;--:--;143
1828-12-30;--:--;143
1828-12-31;--:--;143
1829-01-01;--:--;133
1829-01-02;--:--;133
1829-01-03;--:--;133
1829-01-04;--:--;133
1829-01-05;--:--;133
1829-01-06;--:--;133
1829-01-07;--:--;133
1829-01-08;--:--;133
1829-01-09;--:--;133
1829-01-10;--:--;133
1829-01-11;--:--;133
1829-01-12;--:--;133
1829-01-13;--:--;133
1829-01-14;--:--;133
1829-01-15;--:--;133
1829-01-16;--:--;133
1829-01-17;--:--;133
1829-01-18;--:--;143
1829-01-19;--:--;143
1829-01-20;--:--;143
1829-01-21;--:--;143
1829-01-22;--:--;143
1829-01-23;--:--;143
1829-01-24;--:--;143
1829-01-25;--:--;143
1829-01-26;--:--;143
1829-01-27;--:--;143
1829-01-28;--:--;143
1829-01-29;--:--;143
1829-01-30;--:--;143
1829-01-31;--:--;143
1829-02-01;--:--;143
1829-02-02;--:--;143
1829-02-03;--:--;143
1829-02-04;--:--;143
1829-02-05;--:--;143
1829-02-06;--:--;143
1829-02-07;--:--;143
1829-02-08;--:--;140
1829-02-09;--:--;140
1829-02-10;--:--;136
1829-02-11;--:--;136
1829-02-12;--:--;133
1829-02-13;--:--;129
1829-02-14;--:--;133
1829-02-15;--:--;133
1829-02-16;--:--;133
1829-02-17;--:--;133
1829-02-18;--:--;133
1829-02-19;--:--;136
1829-02-20;--:--;140
1829-02-21;--:--;136
1829-02-22;--:--;133
1829-02-23;--:--;129
1829-02-24;--:--;129
1829-02-25;--:--;126
1829-02-26;--:--;126
1829-02-27;--:--;123
1829-02-28;--:--;123
1829-03-01;--:--;120
1829-03-02;--:--;120
1829-03-03;--:--;120
1829-03-04;--:--;120
1829-03-05;--:--;118
1829-03-06;--:--;118
1829-03-07;--:--;115
1829-03-08;--:--;115
1829-03-09;--:--;112
1829-03-10;--:--;112
1829-03-11;--:--;115
1829-03-12;--:--;118
1829-03-13;--:--;129
1829-03-14;--:--;143
1829-03-15;--:--;195
1829-03-16;--:--;168
1829-03-17;--:--;154
1829-03-18;--:--;143
1829-03-19;--:--;154
1829-03-20;--:--;159
1829-03-21;--:--;168
1829-03-22;--:--;181
1829-03-23;--:--;185
1829-03-24;--:--;195
1829-03-25;--:--;195
1829-03-26;--:--;185
1829-03-27;--:--;181
1829-03-28;--:--;181
1829-03-29;--:--;177
1829-03-30;--:--;195
1829-03-31;--:--;211
1829-04-01;--:--;211
1829-04-02;--:--;229
1829-04-03;--:--;259
1829-04-04;--:--;240
1829-04-05;--:--;225
1829-04-06;--:--;204
1829-04-07;--:--;204
1829-04-08;--:--;240
1829-04-09;--:--;240
1829-04-10;--:--;221
1829-04-11;--:--;215
1829-04-12;--:--;221
1829-04-13;--:--;225
1829-04-14;--:--;236
1829-04-15;--:--;275
1829-04-16;--:--;275
1829-04-17;--:--;332
1829-04-18;--:--;263
1829-04-19;--:--;240
1829-04-20;--:--;240
1829-04-21;--:--;229
1829-04-22;--:--;293
1829-04-23;--:--;319
1829-04-24;--:--;259
1829-04-25;--:--;319
1829-04-26;--:--;352
1829-04-27;--:--;352
1829-04-28;--:--;403
1829-04-29;--:--;418
1829-04-30;--:--;332
1829-05-01;--:--;301
1829-05-02;--:--;288
1829-05-03;--:--;275
1829-05-04;--:--;268
1829-05-05;--:--;293
1829-05-06;--:--;280
1829-05-07;--:--;280
1829-05-08;--:--;293
1829-05-09;--:--;280
1829-05-10;--:--;280
1829-05-11;--:--;319
1829-05-12;--:--;352
1829-05-13;--:--;332
1829-05-14;--:--;301
1829-05-15;--:--;293
1829-05-16;--:--;293
1829-05-17;--:--;306
1829-05-18;--:--;324
1829-05-19;--:--;381
1829-05-20;--:--;397
1829-05-21;--:--;387
1829-05-22;--:--;372
1829-05-23;--:--;352
1829-05-24;--:--;366
1829-05-25;--:--;397
1829-05-26;--:--;358
1829-05-27;--:--;366
1829-05-28;--:--;387
1829-05-29;--:--;403
1829-05-30;--:--;418
1829-05-31;--:--;418
1829-06-01;--:--;424
1829-06-02;--:--;387
1829-06-03;--:--;332
1829-06-04;--:--;783
1829-06-05;--:--;1040
1829-06-06;--:--;1140
1829-06-07;--:--;874
1829-06-08;--:--;723
1829-06-09;--:--;624
1829-06-10;--:--;643
1829-06-11;--:--;707
1829-06-12;--:--;528
1829-06-13;--:--;511
1829-06-14;--:--;479
1829-06-15;--:--;456
1829-06-16;--:--;472
1829-06-17;--:--;479
1829-06-18;--:--;613
1829-06-19;--:--;707
1829-06-20;--:--;528
1829-06-21;--:--;505
1829-06-22;--:--;535
1829-06-23;--:--;570
1829-06-24;--:--;606
1829-06-25;--:--;658
1829-06-26;--:--;696
1829-06-27;--:--;723
1829-06-28;--:--;743
1829-06-29;--:--;783
1829-06-30;--:--;688
1829-07-01;--:--;624
1829-07-02;--:--;535
1829-07-03;--:--;545
1829-07-04;--:--;643
1829-07-05;--:--;723
1829-07-06;--:--;763
1829-07-07;--:--;735
1829-07-08;--:--;613
1829-07-09;--:--;606
1829-07-10;--:--;1140
1829-07-11;--:--;1110
1829-07-12;--:--;669
1829-07-13;--:--;723
1829-07-14;--:--;669
1829-07-15;--:--;677
1829-07-16;--:--;723
1829-07-17;--:--;811
1829-07-18;--:--;852
1829-07-19;--:--;803
1829-07-20;--:--;865
1829-07-21;--:--;939
1829-07-22;--:--;783
1829-07-23;--:--;632
1829-07-24;--:--;588
1829-07-25;--:--;552
1829-07-26;--:--;588
1829-07-27;--:--;632
1829-07-28;--:--;669
1829-07-29;--:--;658
1829-07-30;--:--;624
1829-07-31;--:--;581
1829-08-01;--:--;581
1829-08-02;--:--;595
1829-08-03;--:--;552
1829-08-04;--:--;495
1829-08-05;--:--;466
1829-08-06;--:--;521
1829-08-07;--:--;528
1829-08-08;--:--;528
